benchmark_model,method,n,L,N,spot_eval,x_eval,price_benchmark,price_cfft,abs_price_err,delta_benchmark,delta_z,abs_delta_z_err,rel_delta_z_err,delta_fd,abs_delta_fd_err,rel_delta_fd_err
black_scholes_call,legacy_hyndman_2017,64,10.0,128,68.0,4.219507705176107,0.1911407177131732,2.6576873150656732,2.4665465973525,0.037676280122255656,-2.345236382816353,2.382912662938609,63.2470258530381,0.0024750059854148822,0.03520127413684077,0.9343086425362657
black_scholes_call,legacy_hyndman_2017,64,10.0,128,70.0,4.248495242049359,0.2795212669100544,2.6576873150656732,2.378166048155619,0.05119510528988802,-2.2782296290216,2.3294247343114884,45.50092672182848,0.0024042915286887428,0.04879081376119928,0.9530366913970654
black_scholes_call,legacy_hyndman_2017,64,10.0,128,72.0,4.276666119016055,0.3979679317575542,2.588731359006206,2.190763427248652,0.06778139522041526,-2.339483416490293,2.407264811710708,35.515126295093694,0.017318420763598394,0.05046297445681687,0.7444959533913192
black_scholes_call,legacy_hyndman_2017,64,10.0,128,74.0,4.30406509320417,0.5528206356874126,2.588731359006206,2.0359107233187936,0.08762510065092821,-2.276254134963528,2.3638792356144562,26.977192814093684,0.016850355337555196,0.07077474531337302,0.8076994467066932
black_scholes_call,legacy_hyndman_2017,64,10.0,128,76.0,4.330733340286331,0.7507041756460264,2.588731359006206,1.8380271833601798,0.11081898332966172,-2.2163527103592244,2.327171693688886,20.99975675436464,0.01640692493393532,0.0944120583957264,0.8519484257933645
black_scholes_call,legacy_hyndman_2017,64,10.0,128,78.0,4.356708826689592,0.9983231894405851,2.852519548656155,1.8541963592155701,0.13734913700303775,-2.2425705122908655,2.379919649293903,17.32751804069411,-0.003981786970537918,0.14133092397357566,1.0289902583840032
black_scholes_call,legacy_hyndman_2017,64,10.0,128,80.0,4.382026634673881,1.302245338709639,2.852519548656155,1.550274209946516,0.16709271590694225,-2.186506249483594,2.3535989653905363,14.085586870832294,-0.00388224229627447,0.1709749582032167,1.023234060654305
black_scholes_call,legacy_hyndman_2017,64,10.0,128,82.0,4.406719247264253,1.668687075554752,2.852519548656155,1.1838324731014032,0.19982270258658968,-2.1331768287644817,2.332999531351071,11.675347701496063,-0.0037875534597799705,0.20361025604636965,1.0189545702803149
black_scholes_call,legacy_hyndman_2017,64,10.0,128,84.0,4.430816798843313,2.103315343098462,2.5402033303027753,0.43688798720431343,0.2352188905326163,-2.2030506321248065,2.4382695226574227,10.365959626526354,0.017847292775488098,0.2173715977571282,0.9241247472298006
black_scholes_call,legacy_hyndman_2017,64,10.0,128,86.0,4.454347296253507,2.6110763982831884,2.5402033303027753,0.07087306798041304,0.2728837770109204,-2.1518168964939974,2.4247006735049177,8.885470217629994,0.01743223945512791,0.25545153755579253,0.9361184470323779
